"Table S7 Average scaled expression for and percentage of cells expressing selected genes in clusters identified with bc-Smart-seq2 single-cell RNA sequencing (related to Fig 3D).","...2","...3","...4"
"gene","cluster","scaled.avg.exp","fraction.exp"
"TMEM119","6","-2.0825632024254999","0"
"FRG1","6","2.2676828694889601","0.82758620689655205"
"SERF1A","6","-0.38755460283548099","0"
"MEF2C","6","1.1664599079217599","0.27586206896551702"
"SMIM11A","6","-0.38370867305483902","0"
"HLA-DPB1","6","-1.1690669632819799","0.24137931034482801"
"CD63","6","2.08744656822285","0.27586206896551702"
"GLUL","6","-1.8163105037602201","6.8965517241379296E-2"
"TREM2","6","-1.90017137933125","0.10344827586206901"
"NEAT1","6","-1.2543576440370601","0.68965517241379304"
"ZNF302","6","-0.29325355441900902","0.48275862068965503"
"FGD2","6","-0.70352150851967099","0.58620689655172398"
"AXL","6","-0.25773735340048198","0.51724137931034497"
